Ingredient,Count
green onion,552
green pepper,1
ground beef,426
ground lamb,6
guava,3
gum drop,3
gumdrop,10
gummi,3
haddock,5
halibut,10
ham,470
hamburger,14
hazelnut,50
herb,16
honey,353
honeydew,5
horseradish,66
hot pepper,206
ice,133
ice cream,81
icing,1
icing:,1
italian seasoning,59
japan,2
jerusalem artichoke,1
kale,8
ketchup,205
kirsch,3
kiwi,16
kosher,23
kosher for passover,1
kumquat,3
lamb,11
lamb chop,1
lamb shank,1
lard,30
lasagna,30
lavender flower,2
lecithin,3
leek,39
leftovers,11
lemon,636
lemon juice,899
lentil,37
lettuce,171
lima bean,17
lime,115
lime juice,164
liqueur,158
lobster,11
london,2
low fat,33
low sodium,11
lunch,4
lychee,2
macadamia nut,25
macaroni,68
macaroni and cheese,4
mace,26
mango,27
maple syrup,70
margarine,537
margarita,3
marinade,3
marinate,1
marjoram,51
marsala,14
marshmallow,230
mayonnaise,576
meat,34
meatball,6
mexico,4
milk,2767
mint,47
mixed with:,1
molasses,155
monterey jack,106
mozzarella,201
muffin,26
mushroom,703
mussel,9
mustard,443
nectarine,5
noodle,124
nut,46
nutmeg,635
oat,430
oatmeal,1
okra,12
old bay seasoning tm to taste,1
olive,1153
onion,2763
orange,438
orange juice,356
oregano,391
other soup ingredients,1
oyster,41
pancake,5
papaya,2
paprika,270
parmesan,416
parsley,642
parsnip,18
party,1
passion fruit,5
pasta,247
pastry,253
pea,163
peach,122
peanut,129
peanut butter,407
peanut oil,28
pear,34
pecan,707
pepper,1572
persimmon,14
pickles,93
pico de gallo:,1
pie,118
pimento,85
pine nut,25
pineapple,434
pistachio,43
pizza,33
plantain,3
plum,14
poblano,4
pomegranate,2
pomegranate juice,1
poppy,61
pork,101
pork chop,97
pork rib,10
pork tenderloin,23
port,11
potato,794
poultry,67
powdered gold leaf',1
pretzel,34
prosciutto,12
protein,5
prune,26
pudding,2
puff,1
pumpkin,257
quinoa,5
rabbit,1
rack of lamb,1
radicchio,4
radish,11
raisin,534
raspberry,159
rating,2
raw,4
red pepper,184
red wine,216
rhubarb,40
rice,218
rice vinegar,20
ricotta,74
roast,105
rosemary,122
rum,180
rutabaga,10
saffron,8
sage,82
sake,2
salad,29
salad dressing,237
salami,19
salmon,61
salsa,154
salt,4516
sandwich,6
sangria,1
sauce,227
sauerkraut,48
sausage,280
scallop,29
seafood,2
seed,41
semolina,6
sesame,86
sesame oil,84
shallot,41
sherry,106
shortening,751
shrimp,190
side,1
skewer,21
snapper,8
soda,8
sodium,29
sour cream,746
sourdough,28
soy,1
soy sauce,359
spaghetti,106
spice,207
spinach,197
spring,5
squash,15
squid,8
steak,94
steak sauce,29
steam,1
stock,15
strawberry,277
sugar,1255
sugar snap pea,5
swiss cheese,104
swordfish,8
syrup,2
taco,79
tahini,14
tamarind,3
tangerine,2
tapioca,27
tarragon,56
tart,3
tea,193
tequila,23
thyme,264
tilapia,2
to layer in jar:,1
tofu,48
tomatillo,7
tomato,1200
tomato sauce,211
top layer,1
top layer:,1
topping,5
topping thawed,388
topping:,3
topping:,5
tortillas,184
triple sec,12
tropical fruit,1
trout,4
tuna,51
turkey,115
turnip,19
vanilla,3111
veal,8
vegetable,200
vegetable oil,1358
vegetarian,18
venison,11
vermouth,18
vinaigrette,4
vinegar,564
vodka,78
walnut,1014
wasabi,7
water,2606
watercress,10
watermelon,8
wheat,17
wheat germ,26
whipped topping mix,21
whipping cream,276
whiskey,36
white sugar,4986
white wine,263
whole wheat,128
wild rice,41
wine,23
worcestershire sauce,348
yeast,190
yellow squash,29
yogurt,110
zest,12
zucchini,170
 cut into 1/2 inch thick circles,1
'1 pound calves'' brains,1
1 (.25 ounce) package spanish seasoning,1
1 (.25 ounce) package unflavored jell-o®,1
1 (.7 ounce) package italian-style dressing mix,1
1 (1 ounce) package dry fiesta-style ranch dressing mix,1
1 (1 ounce) package dry ranch-style dressing mix,13
1 (1 ounce) package ranch dressing mix,19
1 (1 ounce) package ranch-style dressing mix,4
1 (1 pound) loaf round pumpernickel,1
1 (1.1 oz) package dry mesquite flavored seasoning mix,1
1 (1.27 ounce) packet dry fajita seasoning,1
1 (1.27 ounce) packet fajita seasoning,1
1 (1.3 ounce) envelope sloppy joe seasoning,1
1 (1.5 fluid ounce) jigger blue curacao,1
1 (1.5 fluid ounce) jigger grenadine syrup,1
1 (1.75 ounce) package multicolored sprinkles (jimmies),3
1 (1.75 ounce) package powdered pectin,1
1 (1.75 ounce) package red and green sprinkles (jimmies)',1
1 (10 ounce) can bamboo shoots,1
1 (10 ounce) package succotash,1
1 (10 ounce) package wonton wrappers,1
1 (10.75 ounce) can condensed minestrone soup,1
1 (10.75 ounce) can condensed oxtail soup,1
1 (12 fluid ounce) can or bottle clear malt liquor,1
1 (12 ounce) jar chutney,1
1 (12 ounce) jar hot chutney,1
1 (12 ounce) jar hot fudge topping,3
1 (12 ounce) jar hot fudge topping',1
1 (12 ounce) package tootsie rolls,1
1 (14 ounce) can bamboo shoots,1
1 (14 ounce) package seasoned dry stuffing mix,1
1 (14 ounce) package small won ton wrappers,3
1 (14 ounce) package won ton wrappers,1
1 (14 ounce) package wonton wrappers,5
1 (15 ounce) can white hominy,6
1 (16 ounce) bottle cole slaw dressing,1
1 (16 ounce) bottle french dressing,2
1 (16 ounce) can white frosting,3
1 (16 ounce) jar nopales - drained,1
1 (16 ounce) package bologna,1
1 (16 ounce) package frozen brussels sprouts,1
1 (16 ounce) package hot roll mix,1
1 (16 ounce) package shredded coleslaw mix,3
1 (16 ounce) package small won ton wrappers,1
1 (16 ounce) package wonton wrappers,2
1 (18 ounce) package prepared polenta,1
1 (19 ounce) can minestrone soup,1
1 (2 ounce) package dry pectin,3
1 (2 pound) package frozen hash browns,1
1 (29 ounce) can yams,1
1 (32 ounce) bottle bottled bloody mary mix,1
1 (32 ounce) package tater tots,1
1 (4 ounce) package zwieback toast,1
1 (4.5 ounce) tube prepared yellow frosting',1
1 (5.5 ounce) package croutons,1
1 (5.5 ounce) package dry risotto mix,1
1 (5.5 ounce) package seasoned croutons,1
1 (6 fluid ounce) container liquid pectin,1
1 (6 ounce) container guacamole,2
1 (7.25 ounce) package fluffy white frosting mix,1
1 (8 ounce) bottle italian dressing,1
1 (8 ounce) can bamboo shoots,1
1 (8 ounce) loaf baguette,2
1 (8 ounce) loaf round pumpernickel loaf,1
1 (8 ounce) package braunschweiger liverwurst,1
1 (8 ounce) package dinner rolls,1
1 (8 ounce) package dry pastini,1
1 (8 ounce) package seasoned tempeh,1
1 (8 ounce) package tempeh,2
1 1/2 (8 ounce) packages seitan,1
1 1/2 cups brewed espresso,1
1 1/2 cups cane syrup,1
1 1/2 cups chopped daikon,1
1 1/2 cups crushed croutons,1
1 1/2 cups crushed zwieback toast,1
1 1/2 cups dry hard cider,1
1 1/2 cups frozen whipped topping',1
1 1/2 cups lite frozen whipped topping,2
1 1/2 cups matzo meal,1
1 1/2 cups pesto,1
1 1/2 cups seasoned croutons,1
1 1/2 cups snow,1
1 1/2 cups toffee baking bits,1
1 1/2 pounds ground round,1
1 1/2 pounds ground sirloin,1
1 1/2 pounds lean top sirloin,1
1 1/2 pounds top sirloin,1
1 1/2 pounds top sirloin - cut into 2 inch strips,1
1 1/2 pounds yams,1
1 1/2 tablespoons dry ranch-style dressing mix,1
1 1/2 tablespoons grenadine syrup,1
1 1/2 tablespoons italian-style seasoning,1
1 1/3 cups hominy grits,1
1 3/4 fluid ounces liquid smoke flavoring,1
1 bagel,1
1 baguette,1
1 bunch sorrel,1
1 carcass,2
1 cooking spray,1
1 cup bagel chips,1
1 cup chopped suet,1
1 cup cognac,1
1 cup cole slaw dressing,1
1 cup croutons,2
1 cup dry sago,1
1 cup dry stuffing mix,1
1 cup french dressing,6
1 cup guacamole,3
1 cup half-and-half,11
1 cup hot fudge topping,2
1 cup jicama,1
1 cup maple flavored syrup,2
1 cup masa harina,1
1 cup matzo farfel,1
1 cup mesquite chips,1
1 cup miso paste,1
1 cup pesto,2
1 cup polenta,1
1 cup prepared stuffing,1
1 cup reconstituted karengo (seaweed),1
1 cup toffee baking bits,2
1 cup uncooked millet,1
1 cup white hominy,1
1 cup wood chips,1
1 dash blue curacao,1
1 dash grenadine syrup,10
1 dash liquid smoke flavoring,4
1 dash liquid smoke flavoring (optional),1
1 day old baguette,1
1 fluid ounce galliano,1
1 fluid ounce southern comfort,1
1 fluid ounce sweet and sour mix,1
1 french baguette,6
1 gallon snow,2
1 hot dog,1
1 jicama,1
1 matzo cracker,1
1 package (10) ortega® tostada shells,1
1 packet aspartame sweetener,1
1 pandan leaf,1
1 pinch asafoetida powder,1
1 pinch ground savory,1
1 pinch italian-style seasoning,1
1 pound bologna,1
1 pound braunschweiger liverwurst,1
1 pound brussels sprouts,1
1 pound calves'' livers,2
1 pound cooked pheasant,1
1 pound eye of round,1
1 pound ground round,2
1 pound ground sirloin,2
1 pound hardwood chips,1
1 pound kielbasa,1
1 pound king mackerel fillets - cleaned,1
1 pound linguica,1
1 pound polish kielbasa,2
1 pound shark fillets,1
1 pound sirloin tips,1
1 pound taro leaves,1
1 pound uncooked linguine,3
1 recipe lady baltimore frosting,1
1 tablespoon arrowroot powder,1
1 tablespoon aspartame sweetener,1
1 tablespoon beau monde  seasoning,1
1 tablespoon cooking oil,1
1 tablespoon creole-style seasoning,1
1 tablespoon dried savory,1
1 tablespoon farina,1
1 tablespoon garam masala,1
1 tablespoon grenadine syrup,1
1 tablespoon ground turmeric,4
1 tablespoon half-and-half,2
1 tablespoon hickory-flavored liquid smoke,1
1 tablespoon italian-style seasoning,2
1 tablespoon jerk paste,1
1 tablespoon liquid smoke flavoring,4
1 tablespoon liquid sweetener,1
1 tablespoon miso paste,1
1 tablespoon old bay seasoning tm,2
1 tablespoon old bay  seasoning,1
1 tablespoon or less grenadine (to taste),1
1 tablespoon ovalette,1
1 tablespoon sucanat,1
1 tablespoon tamari,1
1 tablespoon tom yum soup paste (optional)',1
1 tablespoon xanthan gum,1
1 tablespoon yam extract,1
1 whole large smoked mullet,1
1/2 (1 ounce) package dry ranch-style dressing mix,1
1/2 (16 ounce) package shredded coleslaw mix,1
1/2 (32 ounce) package tater tots,1
1/2 cup bamboo shoots,1
1/2 cup carob powder,1
1/2 cup chutney,4
1/2 cup cognac,1
1/2 cup croutons,1
1/2 cup finely crushed dry stuffing mix,1
1/2 cup french dressing,3
1/2 cup granular sucrolose sweetener,1
1/2 cup half-and-half,7
1/2 cup hickory wood chips,1
1/2 cup jicama,1
1/2 cup multicolored sprinkles (jimmies),1
1/2 cup pesto,3
1/2 cup polenta,1
1/2 cup simple syrup,1
1/2 cup sorghum,1
1/2 cup sweet and sour mix,1
1/2 cup thousand island dressing,1
1/2 fluid ounce blue curacao,1
1/2 fluid ounce cointreau,2
1/2 fluid ounce grenadine syrup,2
1/2 fluid ounce southern comfort,1
1/2 fluid ounce sweet and sour mix,1
1/2 pound braunschweiger liverwurst,1
1/2 pound flounder fillets,1
1/2 pound mesquite wood chips,1
1/2 pound smoked marlin,1
1/2 tablespoon dashi granules,1
1/2 tablespoon maple flavored extract,1
1/3 (2 ounce) package powdered pectin (optional),1
1/3 cup carob powder,1
1/3 cup cracker meal,1
1/3 cup croutons,1
1/3 cup french dressing,1
1/3 cup half-and-half,1
1/3 cup masa harina,3
1/3 cup oil,1
1/3 cup saturei (dried rose petals),1
1/3 cup toffee baking bits,1
1/4 cup bamboo shoots,1
1/4 cup brown miso,1
1/4 cup carob powder,1
1/4 cup croutons,1
1/4 cup crushed croutons,1
1/4 cup french dressing,1
1/4 cup greek-style seasoning,1
1/4 cup grenadine syrup,1
1/4 cup guacamole,1
1/4 cup half-and-half,3
1/4 cup maple flavored syrup,1
1/4 cup old bay seasoning tm,1
1/4 cup pesto,1
1/4 cup tamari,1
1/4 cup thousand island dressing,2
1/4 fluid ounce blue curacao,1
1/4 pound shredded suet,1
days 1,1
to make batter combine 1 1/3 cups dry mix with the following:,1
 2,1
 2 inches thick,1
'2 cups crushed zwieback toast,1
2 (1 ounce) packages dry ranch-style dressing mix,1
2 (1 ounce) packages ranch dressing mix,1
2 (1.5 fluid ounce) jiggers grenadine syrup,1
2 (10.75 ounce) cans condensed minestrone soup,1
2 (12 ounce) packages ladyfingers,2
2 (12 ounce) packages wonton wrappers,1
2 (14 ounce) packages wonton wrappers,1
2 (15 ounce) cans white hominy,2
2 (16 ounce) packages shredded coleslaw mix,1
2 (16 ounce) packages small won ton wrappers,1
2 (2 ounce) packages kippers (smoked herring),1
2 (8 ounce) loaves round pumpernickel loaves,1
2 (8 ounce) packages braunschweiger liverwurst,1
2 (8 ounce) packages dinner rolls,2
2 1/2 cups seasoned croutons,1
2 1/2 fluid ounces cachaca,1
2 1/2 pounds brussels sprouts,1
2 1/2 tablespoons pesto,1
2 3/4 ounces croutons,1
2 clementines,1
2 cups chopped taro (eddoes),1
2 cups creme fraiche,1
2 cups croutons,1
2 cups crushed,1
2 cups half-and-half,10
2 cups hot fudge topping,1
2 cups matzo meal,2
2 cups mixed baby greens,1
2 cups prepared stuffing,1
2 cups seasoned croutons,2
2 cups toffee baking bits,1
2 dashes liquid smoke flavoring,2
2 drops any color liquid food color,1
2 fluid ounces absinthe,1
2 fluid ounces lillet blanc,1
2 fluid ounces sour mix,2
2 fluid ounces southern comfort,1
2 fluid ounces white zinfandel,1
2 matzo crackers,1
2 pandan leaves,2
2 pig''s ears,1
2 pig''s feet,1
2 pounds calamari,1
2 pounds filet mignon,1
2 pounds ground sirloin,1
2 pounds grouper fillets,1
2 pounds hickory wood chips,2
2 pounds hot dogs,2
2 pounds mahi mahi fillets,1
2 pounds sirloin tips,1
2 pounds tater tots,1
2 pounds top round,1
2 pounds top sirloin,2
2 tablespoons alfalfa sprouts,1
2 tablespoons beau monde  seasoning,1
2 tablespoons creme fraiche,1
2 tablespoons dried italian-style seasoning,1
2 tablespoons dry pectin,1
2 tablespoons french dressing,1
2 tablespoons glue,1
2 tablespoons ground turmeric,2
2 tablespoons guacamole,2
2 tablespoons instant mocha cappuccino mix,1
2 tablespoons italian-style seasoning,2
2 tablespoons liquid smoke flavoring,2
2 tablespoons oil,1
2 tablespoons old bay seasoning tm,2
2 tablespoons pandan paste,1
2 tablespoons pesto,2
2 tablespoons piping gel,1
2 tablespoons safflower oil,1
2 tablespoons sumac powder,1
2 tablespoons tamari,1
2 tablespoons thousand island dressing,1
2 tablespoons toffee baking bits,1
2/3 fluid ounce blue curacao,1
 and 3:,1
'3 tablespoons meringue powder,1
3 (15 ounce) cans white hominy,1
3 1/2 (4 ounce) jars tom yum soup paste,1
3 cups brussels sprouts,1
3 cups half-and-half,1
3 cups matzo farfel,2
3 cups prepared stuffing,1
3 dashes liquid smoke flavoring,1
3 matzo crackers,1
3 ounces liquid pectin,2
3 pounds bottom round,1
3 romaine hearts,1
3 tablespoons fajita seasoning,1
3 tablespoons file powder,1
3 tablespoons garam masala,2
3 tablespoons liquid sweetener,1
3 tablespoons pesto,1
3 tablespoons whey powder,1
3/4 cup crushed crackers,1
3/4 cup half-and-half,1
3/4 cup masa harina,1
3/4 cup matzo meal,3
3/4 cup old bay seasoning tm,1
3/4 cup toffee baking bits,1
3/4 cup uncooked grits,1
3/4 fluid ounce blue curacao,1
4 (15 ounce) cans white hominy,1
4 (4 ounce) fillets flounder,1
4 (6 ounce) fillets sole,1
4 (6 ounce) grouper fillets,1
4 cups half-and-half,3
4 cups hominy,1
4 cups safflower oil,1
4 cups seasoned croutons,1
4 dashes liquid smoke flavoring,1
4 fluid ounces grenadine syrup,1
4 fluid ounces sour mix,1
4 frozen toasted mochi squares,1
4 large croissants,1
4 large yams,1
4 pitas,1
4 pounds whole flounder - cleaned,1
4 romaine hearts,1
4 sheets nori seaweed sheets,1
4 tablespoons cole slaw dressing,2
4 tablespoons croutons,1
4 tablespoons pesto,1
days 4 and 5:,1
'5 pig''s feet,1
5 (1 gram) packets acesulfame potassium sweetener,1
5 pounds bratwurst,1
5 pounds hot dogs,1
5 tablespoons multicolored sprinkles (jimmies) (optional),1
5 tablespoons pan drippings,1
5 tablespoons peeled and chopped fresh turmeric,1
6 bagels,1
6 cups cubed yam,1
6 french rolls,1
6 helix snails,1
6 large yams,1
6 sheets nori (dry seaweed),2
6 small yams,1
6 tablespoons arrowroot powder,1
6 tablespoons carob powder,1
6 tablespoons matzo meal,1
6 tablespoons pesto,1
8 dried tiger lily buds,1
8 frankfurters,1
8 hot dog buns,1
8 hot dogs,1
8 large seasoned croutons,1
8 leaves ti leaves,1
8 ounces pesto,1
8 tablespoons thousand island dressing,1
8 twinkies,1
9 tablespoons splenda® granular,1
10 fluid ounces mountain dew,1
10 hoagie rolls,1
10 manicotti shells,1
12 cannoli shells,1
12 dinner rolls,1
12 manicotti shells,1
14 uncooked manicotti shells,1
16 ladyfingers,1
16 ounces bratwurst,1
16 ounces thousand island dressing,1
18 frozen dinner rolls,1
20 ladyfingers,1
20 packets aspartame sweetener,1
24 (2 inch square) dinner rolls,1
24 (3.5 inch square) wonton wrappers,2
24 dinner rolls,1
24 ladyfingers,1
24 miniature croissants,1
24 popsicle sticks,1
24 round wonton wrappers,1
24x8x1 inch untreated cedar plank,1
100 (3.5 inch square) wonton wrappers,1
