Ingredient,Count,Category,Base Unit
lettuce,171,Vegetables ,g
lima bean,17,Vegetables ,g
lime,115,Fruits,g
lime juice,164,Fruits,ml
liqueur,158,Others,ml
lobster,11,"Meat, sausages and fish",g
lychee,2,Fruits,g
macadamia nut,25,"Grain, nuts and baking products",g
macaroni,68,"Pasta, rice and pulses  ",g
macaroni and cheese,4,Others,g
mace,26,Herbs and spices ,g
mango,27,Fruits,g
maple syrup,70,Others,ml
margarine,537,Fats and oils,g
margarita,3,Others,ml
marjoram,51,Herbs and spices ,g
marsala,14,Others,ml
marshmallow,230,Others,g
mayonnaise,576,Others,g
meat,34,"Meat, sausages and fish",g
meatball,6,"Meat, sausages and fish",g
milk,2767,"Eggs, milk and milk products",ml
mint,47,Herbs and spices ,g
molasses,155,Others,g
monterey jack,106,"Eggs, milk and milk products",g
mozzarella,201,"Eggs, milk and milk products",g
muffin,26,Others,whole
mushroom,703,Vegetables ,g
mussel,9,"Meat, sausages and fish",g
mustard,443,Others,ml
nectarine,5,Fruits,g
noodle,124,"Pasta, rice and pulses  ",g
nut,46,"Grain, nuts and baking products",g
nutmeg,635,Herbs and spices ,g
oat,430,"Grain, nuts and baking products",g
oatmeal,1,"Grain, nuts and baking products",g
okra,12,Vegetables ,g
olive,1153,Fruits,g
onion,2763,Vegetables ,g
orange,438,Fruits,g
orange juice,356,Fruits,ml
oregano,391,Herbs and spices ,g
oyster,41,"Meat, sausages and fish",g
pancake,5,Others,g
papaya,2,Fruits,g
paprika,270,Herbs and spices ,g
parmesan,416,"Eggs, milk and milk products",g
parsley,642,Vegetables ,g
parsnip,18,Vegetables ,g
passion fruit,5,Fruits,g
pasta,247,"Pasta, rice and pulses  ",g
pastry,253,Others,whole
pea,163,Vegetables ,g
peach,122,Fruits,g
peanut,129,"Grain, nuts and baking products",g
peanut butter,407,Fats and oils,g
peanut oil,28,Fats and oils,ml
pear,34,Fruits,g
pecan,707,"Grain, nuts and baking products",g
pepper,1572,Herbs and spices ,g
persimmon,14,Fruits,g
pickles,93,Vegetables ,g
pie,118,Others,whole
pimento,85,Vegetables ,g
pine nut,25,"Grain, nuts and baking products",g
pineapple,434,Fruits,g
pistachio,43,"Grain, nuts and baking products",g
pizza,33,Others,whole
plantain,3,Fruits,g
plum,14,Fruits,g
poblano,4,Vegetables ,g
pomegranate,2,Fruits,g
pomegranate juice,1,Fruits,ml
poppy,61,Others,g
pork,101,"Meat, sausages and fish",g
pork chop,97,"Meat, sausages and fish",g
pork rib,10,"Meat, sausages and fish",g
pork tenderloin,23,"Meat, sausages and fish",g
port,11,Others,ml
potato,794,"Pasta, rice and pulses  ",g
pretzel,34,Others,whole
prosciutto,12,"Meat, sausages and fish",g
prune,26,Fruits,g
pudding,2,Others,g
puff,1,Others,whole
pumpkin,257,Vegetables ,g
quinoa,5,"Grain, nuts and baking products",g
rabbit,1,"Meat, sausages and fish",g
rack of lamb,1,"Meat, sausages and fish",g
radicchio,4,Vegetables ,g
radish,11,Vegetables ,g
raisin,534,Fruits,g
raspberry,159,Fruits,g
red pepper,184,Vegetables ,g
red wine,216,Others,ml
rhubarb,40,Vegetables ,g
rice,218,"Pasta, rice and pulses  ",g
rice vinegar,20,Herbs and spices ,ml
ricotta,74,"Eggs, milk and milk products",whole
rosemary,122,Herbs and spices ,g
rum,180,Others,ml
rutabaga,10,Vegetables ,g
saffron,8,Herbs and spices ,g
sage,82,Herbs and spices ,g
sake,2,Others,ml
salad dressing,237,Fats and oils,ml
salami,19,"Meat, sausages and fish",g
salmon,61,"Meat, sausages and fish",g
salsa,154,Others,g
salt,4516,Others,g
sauce,227,Others,ml
sauerkraut,48,Vegetables ,g
sausage,280,"Meat, sausages and fish",g
scallop,29,"Meat, sausages and fish",g
seed,41,"Grain, nuts and baking products",g
semolina,6,"Grain, nuts and baking products",g
sesame,86,"Grain, nuts and baking products",g
sesame oil,84,Fats and oils,ml
shallot,41,Vegetables ,g
sherry,106,Others,ml
shrimp,190,"Meat, sausages and fish",g
skewer,21,Others,whole
snapper,8,"Meat, sausages and fish",g
soda,8,Others,ml
sodium,29,Others,g
sour cream,746,Others,g
sourdough,28,"Grain, nuts and baking products",g
soy sauce,359,Others,ml
spaghetti,106,"Pasta, rice and pulses  ",g
spice,207,Herbs and spices ,g
spinach,197,Vegetables ,g
squash,15,Fruits,g
squid,8,"Meat, sausages and fish",g
steak,94,"Meat, sausages and fish",g
steak sauce,29,Others,ml
stock,15,Others,ml
strawberry,277,Fruits,g
sugar,1255,Others,g
sugar snap pea,5,Vegetables ,g
swiss cheese,104,"Eggs, milk and milk products",g
swordfish,8,"Meat, sausages and fish",g
syrup,2,Others,ml
taco,79,Others,g
tahini,14,"Grain, nuts and baking products",g
tamarind,3,Fruits,g
tangerine,2,Fruits,g
tapioca,27,"Pasta, rice and pulses  ",g
tarragon,56,Herbs and spices ,g
tart,3,Others,whole
tea,193,Others,ml
tequila,23,Others,ml
thyme,264,Herbs and spices ,g
tilapia,2,"Meat, sausages and fish",g
tofu,48,Vegetables ,g
tomatillo,7,Fruits,g
tomato,1200,Fruits,g
tomato sauce,211,Others,ml
tortillas,184,Others,g
triple sec,12,Others,ml
tropical fruit,1,Fruits,g
trout,4,"Meat, sausages and fish",g
tuna,51,"Meat, sausages and fish",g
turkey,115,"Meat, sausages and fish",g
turnip,19,Vegetables ,g
vanilla essence (liquid),3111,Herbs and spices ,ml
vanilla essence (solid),3111,Herbs and spices ,g
veal,8,"Meat, sausages and fish",g
vegetable,200,Vegetables ,g
vegetable oil,1358,Fats and oils,ml
venison,11,"Meat, sausages and fish",g
vermouth,18,Others,ml
vinaigrette,4,Fats and oils,g
vinegar,564,Herbs and spices ,ml
vodka,78,Others,ml
walnut,1014,"Grain, nuts and baking products",g
wasabi,7,Vegetables ,g
water,2606,Others,ml
watercress,10,Vegetables ,g
watermelon,8,Fruits,g
wheat,17,"Grain, nuts and baking products",g
wheat germ,26,Others,g
whipping cream,276,"Eggs, milk and milk products",ml
whiskey,36,Others,ml
white sugar,4986,Others,g
white wine,263,Others,ml
whole wheat,128,"Grain, nuts and baking products",g
wild rice,41,"Pasta, rice and pulses ",g
wine,23,Others,ml
worcestershire sauce,348,Others,ml
yeast,190,"Grain, nuts and baking products",g
yellow squash,29,Fruits,g
yogurt,110,"Eggs, milk and milk products",g
zest,12,Fruits,g
zucchini,170,Vegetables ,g
,,,whole
,,,g
,,,ml
